======================================================
  RELATÓRIO MASSIVO: PRIMEIRA PATRULHA (mission_1)
  Inimigos: 2x (HP:5 ATK:1)
======================================================



### PROGRESSÃO: DIA 0 ###

[ESTÁGIO] Solos - Dia 0
| Classe/Grupo         | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| -------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro            | 99.9%              | 0.0%               | 0.1%               | 4.9                | 2.8                | 0.2%               |
| Tanque               | 98.6%              | 0.0%               | 1.4%               | 8.0                | 7.9                | 0.0%               |
| Ladino               | 100.0%             | 0.0%               | 0.0%               | 4.0                | 0.8                | 0.0%               |
| Arqueiro             | 100.0%             | 0.0%               | 0.0%               | 3.5                | 0.7                | 0.0%               |
| Mago                 | 100.0%             | 0.0%               | 0.0%               | 3.7                | 1.0                | 0.0%               |
| Curandeiro           | 99.5%              | 0.0%               | 0.5%               | 6.8                | 3.6                | 0.0%               |

[ESTÁGIO] Todas as Duplas Possíveis - Dia 0
| Classe/Grupo         | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| -------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro | 100.0%             | 0.0%               | 0.0%               | 3.7                | 1.3                | 0.0%               |
| Guerreiro + Tanque   | 99.8%              | 0.0%               | 0.2%               | 6.3                | 5.5                | 0.4%               |
| Guerreiro + Ladino   | 100.0%             | 0.0%               | 0.0%               | 3.3                | 0.8                | 0.0%               |
| Guerreiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.7                | 0.0%               |
| Guerreiro + Mago     | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.7                | 0.0%               |
| Guerreiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 4.3                | 1.8                | 0.0%               |
| Tanque + Tanque      | 100.0%             | 0.0%               | 0.0%               | 5.5                | 3.9                | 0.0%               |
| Tanque + Ladino      | 100.0%             | 0.0%               | 0.0%               | 3.8                | 1.8                | 0.0%               |
| Tanque + Arqueiro    | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.3                | 0.0%               |
| Tanque + Mago        | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.4                | 1.4%               |
| Tanque + Curandeiro  | 100.0%             | 0.0%               | 0.0%               | 4.0                | 2.0                | 0.0%               |
| Ladino + Ladino      | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.4                | 0.0%               |
| Ladino + Arqueiro    | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.3                | 0.0%               |
| Ladino + Mago        | 100.0%             | 0.0%               | 0.0%               | 3.5                | 0.6                | 0.0%               |
| Ladino + Curandeiro  | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.5                | 0.0%               |
| Arqueiro + Arqueiro  | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.3                | 0.0%               |
| Arqueiro + Mago      | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.3                | 0.0%               |
| Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.4                | 0.6                | 0.0%               |
| Mago + Mago          | 100.0%             | 0.0%               | 0.0%               | 3.2                | 0.6                | 0.0%               |
| Mago + Curandeiro    | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.4                | 0.0%               |
| Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.7                | 1.0                | 0.0%               |

[ESTÁGIO] Todos os Trios Possíveis - Dia 0
| Classe/Grupo         | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| -------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro + Guerreiro | 100.0%             | 0.0%               | 0.0%               | 3.2                | 0.9                | 0.0%               |
| Guerreiro + Guerreiro + Tanque | 99.9%              | 0.0%               | 0.1%               | 4.2                | 2.8                | 0.0%               |
| Guerreiro + Guerreiro + Ladino | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.7                | 0.0%               |
| Guerreiro + Guerreiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.5                | 0.0%               |
| Guerreiro + Guerreiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.6                | 0.0%               |
| Guerreiro + Guerreiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.7                | 0.0%               |
| Guerreiro + Tanque + Tanque | 100.0%             | 0.0%               | 0.0%               | 5.4                | 4.2                | 0.0%               |
| Guerreiro + Tanque + Ladino | 100.0%             | 0.0%               | 0.0%               | 3.3                | 1.4                | 0.0%               |
