======================================================
  RELATÓRIO SANDBOX: PRIMEIRA PATRULHA (mission_1)
  Min Heróis: 1
  Inimigos: 2x (HP:7 ATK:1)
======================================================


### ESTÁGIO: Sem Treino (0 min) ###

[Solos - Combinações Classe + Personalidade]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| --------------------------------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro (Sanguinário)                       | 99.7%              | 0.1%               | 0.3%               | 4.8                | 2.4                | 0.1%               |
| Guerreiro (Guardião)                          | 99.8%              | 0.0%               | 0.2%               | 4.8                | 2.2                | 0.1%               |
| Guerreiro (Prudente)                          | 99.6%              | 0.0%               | 0.4%               | 4.8                | 2.3                | 0.0%               |
| Guerreiro (Vingativo)                         | 100.0%             | 0.0%               | 0.0%               | 4.7                | 2.3                | 0.1%               |
| Guerreiro (Oportunista)                       | 99.7%              | 0.1%               | 0.2%               | 4.8                | 2.4                | 0.2%               |
| Tanque (Sanguinário)                          | 96.0%              | 0.3%               | 3.7%               | 10.3               | 10.7               | 1.0%               |
| Tanque (Guardião)                             | 94.1%              | 0.0%               | 5.9%               | 10.4               | 9.8                | 0.0%               |
| Tanque (Prudente)                             | 93.3%              | 0.0%               | 6.7%               | 10.3               | 10.6               | 0.9%               |
| Tanque (Vingativo)                            | 97.1%              | 0.0%               | 2.9%               | 10.8               | 10.6               | 0.2%               |
| Tanque (Oportunista)                          | 91.0%              | 0.1%               | 8.8%               | 13.0               | 12.9               | 0.9%               |
| Ladino (Sanguinário)                          | 99.9%              | 0.0%               | 0.0%               | 4.2                | 1.1                | 0.1%               |
| Ladino (Guardião)                             | 99.9%              | 0.1%               | 0.0%               | 4.1                | 1.0                | 0.2%               |
| Ladino (Prudente)                             | 99.6%              | 0.3%               | 0.0%               | 4.1                | 1.0                | 0.6%               |
