======================================================
  RELATÓRIO: EXPEDIÇÃO (mission_2)
  Min Heróis: 2
  Inimigos: 2x (HP:6 ATK:2), 1x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Duplas]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| --------------------------------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro                         | 99.9%              | 0.0%               | 0.1%               | 3.6                | 3.4                | 0.2%               |
| Guerreiro + Tanque                            | 98.6%              | 0.0%               | 1.4%               | 6.9                | 11.2               | 2.8%               |
| Guerreiro + Ladino                            | 100.0%             | 0.0%               | 0.0%               | 3.7                | 2.9                | 0.0%               |
| Guerreiro + Arqueiro                          | 100.0%             | 0.0%               | 0.0%               | 3.4                | 3.2                | 1.9%               |
| Guerreiro + Mago                              | 100.0%             | 0.0%               | 0.0%               | 4.2                | 4.0                | 0.0%               |
| Guerreiro + Curandeiro                        | 99.9%              | 0.0%               | 0.1%               | 6.7                | 4.5                | 0.0%               |
| Tanque + Tanque                               | 84.8%              | 0.0%               | 15.2%              | 10.6               | 15.9               | 1.9%               |
| Tanque + Ladino                               | 100.0%             | 0.0%               | 0.0%               | 4.2                | 3.5                | 0.0%               |
| Tanque + Arqueiro                             | 100.0%             | 0.0%               | 0.0%               | 4.0                | 3.1                | 0.0%               |
| Tanque + Mago                                 | 100.0%             | 0.0%               | 0.0%               | 4.6                | 4.4                | 0.0%               |
| Tanque + Curandeiro                           | 100.0%             | 0.0%               | 0.0%               | 6.4                | 7.1                | 0.0%               |
| Ladino + Ladino                               | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.8                | 0.0%               |
| Ladino + Arqueiro                             | 100.0%             | 0.0%               | 0.0%               | 3.0                | 1.7                | 0.0%               |
| Ladino + Mago                                 | 100.0%             | 0.0%               | 0.0%               | 3.0                | 1.7                | 0.2%               |
| Ladino + Curandeiro                           | 100.0%             | 0.0%               | 0.0%               | 4.4                | 2.5                | 0.0%               |
| Arqueiro + Arqueiro                           | 99.3%              | 0.7%               | 0.0%               | 3.0                | 1.9                | 13.9%              |
| Arqueiro + Mago                               | 100.0%             | 0.0%               | 0.0%               | 3.4                | 2.6                | 0.2%               |
| Arqueiro + Curandeiro                         | 100.0%             | 0.0%               | 0.0%               | 4.4                | 1.6                | 0.0%               |
| Mago + Mago                                   | 100.0%             | 0.0%               | 0.0%               | 3.0                | 1.7                | 0.4%               |
| Mago + Curandeiro                             | 100.0%             | 0.0%               | 0.0%               | 4.7                | 2.1                | 0.0%               |
| Curandeiro + Curandeiro                       | 100.0%             | 0.0%               | 0.0%               | 6.2                | 3.9                | 0.0%               |

[Trios]
