======================================================
  RELATÓRIO: ASSALTO À CARAVANA (mission_3)
  Min Heróis: 3
  Inimigos: 3x (HP:6 ATK:2), 2x (HP:10 ATK:3)
======================================================


### ESTÁGIO: Dia 0 ###

[Trios]
| Classe/Grupo                                  | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| --------------------------------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro + Guerreiro             | 98.5%              | 0.1%               | 1.3%               | 6.4                | 8.7                | 1.2%               |
| Guerreiro + Guerreiro + Tanque                | 92.0%              | 1.1%               | 7.0%               | 8.9                | 16.0               | 11.3%              |
| Guerreiro + Guerreiro + Ladino                | 100.0%             | 0.0%               | 0.1%               | 5.6                | 7.0                | 0.1%               |
| Guerreiro + Guerreiro + Arqueiro              | 100.0%             | 0.0%               | 0.0%               | 4.8                | 5.1                | 0.0%               |
| Guerreiro + Guerreiro + Mago                  | 100.0%             | 0.0%               | 0.0%               | 6.3                | 9.1                | 0.2%               |
| Guerreiro + Guerreiro + Curandeiro            | 97.2%              | 0.0%               | 2.8%               | 7.5                | 8.2                | 0.5%               |
| Guerreiro + Tanque + Tanque                   | 93.0%              | 0.4%               | 6.6%               | 10.1               | 20.5               | 8.2%               |
| Guerreiro + Tanque + Ladino                   | 99.9%              | 0.0%               | 0.1%               | 6.5                | 10.2               | 0.6%               |
| Guerreiro + Tanque + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 5.6                | 8.4                | 0.1%               |
| Guerreiro + Tanque + Mago                     | 100.0%             | 0.0%               | 0.0%               | 7.6                | 14.5               | 2.7%               |
| Guerreiro + Tanque + Curandeiro               | 90.6%              | 0.0%               | 9.4%               | 9.9                | 10.1               | 0.4%               |
| Guerreiro + Ladino + Ladino                   | 100.0%             | 0.0%               | 0.0%               | 4.6                | 4.3                | 0.1%               |
| Guerreiro + Ladino + Arqueiro                 | 100.0%             | 0.0%               | 0.0%               | 4.5                | 4.0                | 0.0%               |
| Guerreiro + Ladino + Mago                     | 100.0%             | 0.0%               | 0.0%               | 5.7                | 6.7                | 0.1%               |
| Guerreiro + Ladino + Curandeiro               | 99.9%              | 0.0%               | 0.1%               | 5.5                | 4.4                | 0.0%               |
| Guerreiro + Arqueiro + Arqueiro               | 100.0%             | 0.0%               | 0.0%               | 4.1                | 3.2                | 0.0%               |
| Guerreiro + Arqueiro + Mago                   | 100.0%             | 0.0%               | 0.0%               | 4.5                | 4.3                | 0.0%               |
| Guerreiro + Arqueiro + Curandeiro             | 100.0%             | 0.0%               | 0.0%               | 5.5                | 5.2                | 0.0%               |
| Guerreiro + Mago + Mago                       | 100.0%             | 0.0%               | 0.0%               | 6.3                | 8.3                | 1.3%               |
| Guerreiro + Mago + Curandeiro                 | 100.0%             | 0.0%               | 0.0%               | 5.7                | 5.4                | 0.0%               |
